1	0	0.028
1	1	0.017
1	2	0.010
1	3	0.010
1	4	0.010
1	5	0.010
1	6	0.010
1	7	0.010
1	8	0.010
1	9	0.010
2	0	1.747
2	1	0.750
2	2	1.670
2	3	0.568
2	4	0.812
2	5	1.396
2	6	0.659
2	7	1.023
2	8	10.413
2	9	0.963
3	0	83.054
3	1	19.738
3	2	1.768
3	3	3.823
3	4	6.138
3	5	7.204
3	6	2.588
3	7	22.227
3	8	5.427
3	9	15.129
4	0	95.580
4	1	2.017
4	2	69.592
4	3	93.625
4	4	100.016
4	5	2.800
4	6	43.545
4	7	1.300
4	8	101.083
4	9	90.504
5	0	29.904
5	1	261.070
5	2	2.868
5	3	41.237
5	4	8.195
5	5	394.936
5	6	104.999
5	7	25.234
5	8	177.952
5	9	165.083
6	0	107.354
6	1	193.593
6	2	116.825
6	3	269.436
6	4	153.255
6	5	286.942
6	6	13.351
6	7	403.032
6	8	64.126
6	9	173.895
7	0	322.069
7	1	240.792
7	2	103.422
7	3	609.714
7	4	691.128
7	5	76.409
7	6	269.774
7	7	48.137
7	8	262.523
7	9	26.576
8	0	91.722
8	1	512.063
8	2	433.522
8	3	63.489
8	4	470.325
8	5	97.120
8	6	91.424
